model,bits,aggregate_bpp,mean_psnr,mean_msssim,bytes_per_frame,compression_ratio,total_bytes,total_frames,encode_seconds_per_frame,decode_seconds_per_frame
CTRL@10268,8,1.8495830594249827,29.877740188832078,0.9734913372695031,15151.784422809458,12.975897393578727,10894133,719,0.0065270216968535515,0.006765018776391072
CTRL@10268,6,1.3472204301221313,29.734824800027095,0.9713122739413849,11036.4297635605,17.814456686812786,7935193,719,0.004861200277676407,0.0048534766342154135
CTRL@10268,4,0.8360045622718185,27.98620236467088,0.9386020576340433,6848.549374130737,28.707977304311218,4924107,719,0.0042808361614841235,0.0037847552164354116
CTRL@1812,8,1.8570554942845967,29.523982609097583,0.9726762221154649,15212.998609179416,12.923684873103724,10938146,719,0.006739300694917322,0.006943893045305517
CTRL@1812,6,1.3547636623674375,29.40441457618427,0.9706685347417797,11098.223922114048,17.715266999455988,7979623,719,0.0050514464530759,0.004906480806668888
CTRL@1812,4,0.8429174091620306,27.733942389985618,0.936902521134086,6905.179415855355,28.472540416337015,4964824,719,0.004362713074232601,0.003892140055176645
CTRL@18120,8,1.84460347352008,29.861349257043408,0.9741868671024625,15110.991655076496,13.010926383110673,10864803,719,0.0067384190546456845,0.00698915618951549
CTRL@18120,6,1.3422394859940021,29.722633491802615,0.9720261795796008,10995.625869262865,17.880564720703834,7905855,719,0.005244024479102735,0.005051336996119679
CTRL@18120,4,0.8311035835361613,27.94213298696802,0.9384713167109642,6808.4005563282335,28.8772668960051,4895240,719,0.004538104867563299,0.0039943855349994515
CTRL@4832,8,1.8546373476073539,29.855310142952145,0.9725023082798148,15193.189151599443,12.94053526473093,10923903,719,0.006658746871486195,0.006784355215786895
CTRL@4832,6,1.3523246330080843,29.70874421619739,0.9702772021459439,11078.243393602226,17.74721794915092,7965257,719,0.004942942419410288,0.004881880807373621
CTRL@4832,4,0.8406255772448713,27.913583978326663,0.9364722126548247,6886.404728789986,28.550166268625066,4951325,719,0.004308541724272137,0.003898329208284404
CTRL@604,8,1.8592607394710536,29.78678605951089,0.9732317867298949,15231.063977746871,12.908356257136818,10951135,719,0.007552762586841689,0.007134853686024376
CTRL@604,6,1.3571354596770688,29.661728205037548,0.9712928481327476,11117.653685674548,17.684306919303996,7993593,719,0.00503070375488479,0.0049548835882376905
CTRL@604,4,0.8454778297222705,27.893500504473817,0.9371074933004313,6926.15438108484,28.38631499998494,4979905,719,0.0044417025030235036,0.003959205562944403
M10C-L@10268,8,1.7603065374000348,29.882976484232387,0.9749755930668456,14420.431154381085,13.633989018439877,10368290,719,0.006939268427621184,0.007013009318744152
M10C-L@10268,6,1.257847134692281,29.796561839351735,0.9737078438879552,10304.283727399166,19.080219955242292,7408780,719,0.005351707788190114,0.005025042419090947
M10C-L@10268,4,0.7515770669441064,28.601465872497982,0.9542149893100139,6156.91933240612,31.93285300412824,4426825,719,0.004568490264226484,0.004017735604802017
M10C-L@1812,8,1.803697355267733,29.545949630843417,0.9742737964562481,14775.888734353268,13.306001658153756,10623864,719,0.006787635326608614,0.007015054103031415
M10C-L@1812,6,1.3011949987504345,29.479820649381804,0.9730892637343002,10659.38942976356,18.444583650450326,7664101,719,0.005272388596282637,0.005095223365819486
M10C-L@1812,4,0.7919271625630215,28.454096548746293,0.9536971055251003,6487.467315716272,30.305817421801187,4664489,719,0.004477790123933631,0.0038836490958640856
M10C-L@18120,8,1.7446501284879172,29.90536943098766,0.975253947089544,14292.173852573018,13.756339800233027,10276073,719,0.006788940472422771,0.0069473230889017185
M10C-L@18120,6,1.2423144938716968,29.779294492803793,0.9737830186089156,10177.04033379694,19.318779679695712,7317292,719,0.005150238108922895,0.004980922949041197
M10C-L@18120,4,0.7371444171592489,28.524421124199666,0.9528679563372456,6038.687065368567,32.5580706321963,4341816,719,0.004552669819243322,0.003954343254195775
M10C-L@4832,8,1.7786303269514951,29.770757900657177,0.9745282548193474,14570.539638386648,13.49352905791002,10476218,719,0.006862634909784509,0.007035452712342462
M10C-L@4832,6,1.2759912992220097,29.696879563311708,0.9733627362277809,10452.920723226704,18.808905683473817,7515650,719,0.005232736022123855,0.00508583435260591
M10C-L@4832,4,0.7681589352073191,28.621588167129538,0.9549268138425241,6292.7579972183585,31.24353424792568,4524493,719,0.004556306536547109,0.004003396662499727
M10C-L@604,8,1.8334595915007823,29.749117550166822,0.9739286073888956,15019.700973574409,13.090007607069621,10799165,719,0.006917971071057923,0.007045385118195676
M10C-L@604,6,1.3309137718402295,29.65864302485311,0.9725632262992594,10902.84561891516,18.032723462479204,7839146,719,0.005234358274855202,0.005059560778423217
M10C-L@604,4,0.8203495115829277,28.40708798393918,0.948926829247216,6720.303198887344,29.255822867121783,4831898,719,0.0045930881782464674,0.00400470556323423
