arm,lambda,step,own_epoch,global_epoch,val_distortion,val_psnr_db,val_rate_bpp_proxy,val_total_objective,latent_abs_mean,latent_range,bin_width,rate_scale_mean,rate_grad_norm,sha256,path
CTRL,0.0,604,1,41,0.0013002335463499044,29.55174319715385,2.2428398606288864,0.0013002335463499044,6.680336952209473,116.54689025878906,4.148364543914795,1.0,0.0,77ff039659447aa66894ca97ff772f8d8a60f85cef5fcc4a5a3fe50730f67621,outputs\m10c_convergence\control_lambda0\snapshot_step000604.pt
CTRL,0.0,1812,3,43,0.0013661839324610688,29.23728274150067,2.2122698232352014,0.0013661839324610688,7.441023826599121,122.14999389648438,4.195995330810547,1.0,0.0,dc7d617db0b48ea29e908879db44087c6f6ef54b616e139ecd2693ebb3f3c882,outputs\m10c_convergence\control_lambda0\snapshot_step001812.pt
CTRL,0.0,4832,8,48,0.0012709471742140062,29.646492785718067,2.2019132720418724,0.0012709471742140062,8.184331893920898,121.76458740234375,4.209047317504883,1.0,0.0,3ab04da4c7064ba7851b61d06b0fdd556c4c317861df6d677fd268f52fba5e33,outputs\m10c_convergence\control_lambda0\snapshot_step004832.pt
CTRL,0.0,10268,17,57,0.0012458222960290242,29.726233723651934,2.187717473650553,0.0012458222960290242,7.396124362945557,117.8911361694336,4.237018585205078,1.0,0.0,b7ff919ac8bf96f6edc38cbd04d7c0332d7ea29a6fc48cd56cfe1ffe9ed329b9,outputs\m10c_convergence\control_lambda0\snapshot_step010268.pt
CTRL,0.0,18120,30,70,0.001228552984904094,29.76706605934235,2.1723353647323975,0.001228552984904094,7.637513637542725,139.43141174316406,4.362468242645264,1.0,0.0,c7ed1bf251fa9376a0dc154effd5f23e4e0269475276d19edb5767670841139c,outputs\m10c_convergence\control_lambda0\snapshot_step018120.pt
M10C-L,0.00090757,604,1,41,0.0013194839780061808,29.4834855550743,0.7254043817520142,0.0019778392413709626,4.410017013549805,81.05560302734375,3.1029834747314453,4.333151817321777,7.487641267364697e-06,ba352a2f78791a9c65a644f402646314f8145d8cda7183757beb0bee28749658,outputs\m10c_convergence\lambda_9e-4\snapshot_step000604.pt
M10C-L,0.00090757,1812,3,43,0.0013553617768977061,29.31956831231175,0.6858089365154864,0.001977781397683254,3.3630895614624023,63.369117736816406,2.2054238319396973,2.7259206771850586,7.530520517662897e-06,3fa5329b0d19121675d3cc5941431b38114ec3a9f4cce88051639a2bccf00ac9,outputs\m10c_convergence\lambda_9e-4\snapshot_step001812.pt
M10C-L,0.00090757,4832,8,48,0.0013037079279675677,29.526770051703394,0.6593061577842896,0.0019020744310467538,2.5263891220092773,47.07245635986328,1.3461300134658813,1.5572470426559448,4.456565582988136e-06,698745e52b56fc0fd43d083d522960ee085953a8fd7bc62410ba549530daf09e,outputs\m10c_convergence\lambda_9e-4\snapshot_step004832.pt
M10C-L,0.00090757,10268,17,57,0.0012627146543418787,29.67133211802287,0.6475998841854463,0.0018504568886191371,1.929574966430664,41.648170471191406,0.9577171206474304,1.1039154529571533,7.4757445801554295e-06,622f45c9188e2be1c51f1ccb6b32aec8191e4225b7be0eefe5f5e1134884b29d,outputs\m10c_convergence\lambda_9e-4\snapshot_step010268.pt
M10C-L,0.00090757,18120,30,70,0.0012137900918009635,29.83740206798875,0.6339447415736784,0.0017891393291360014,1.887247085571289,51.3242301940918,0.8660576939582825,1.0268524885177612,6.436469495360259e-06,cd27d9e17cf59591f57e7e2412443c77591e71436a88704fa2b50f53516b6f0a,outputs\m10c_convergence\lambda_9e-4\snapshot_step018120.pt
