model,bits,aggregate_bpp,mean_psnr,mean_msssim,bytes_per_frame,compression_ratio,total_bytes,total_frames,encode_seconds_per_frame,decode_seconds_per_frame
CENTER,8,1.7448214343923854,29.931334913357244,0.9754659022011578,14293.57719054242,13.754989208026169,10277082,719,0.004616985396904319,0.00561281516025962
CENTER,6,1.2424713686543811,29.80517303562297,0.973986420578353,10178.32545201669,19.316340485167423,7318216,719,0.003431312517664215,0.004055182615075498
CENTER,4,0.7373252306263038,28.543367940295223,0.9530315797086882,6040.168289290681,32.55008645182772,4342881,719,0.002985705424978376,0.0033033898474113636
CTRL,8,1.8445449001434284,30.105590966215384,0.9743792352490697,15110.511821974966,13.011339544043523,10864458,719,0.005818709178655428,0.00524694923523092
CTRL,6,1.3421729330558936,29.95641405161299,0.9723095602054092,10995.08066759388,17.881451345733957,7905463,719,0.0031627778859902303,0.003678760361255073
CTRL,4,0.8311709853637865,28.067814417110863,0.9386340854728338,6808.952712100139,28.874925162956323,4895637,719,0.002794967872244131,0.003060864672537243
HIGH,8,1.7402520319019472,29.857461366931986,0.9746947104476589,14256.144645340752,13.791105862850248,10250168,719,0.004349516272897507,0.005330178998250408
HIGH,6,1.2379958533444888,29.78489018680323,0.9734405406824571,10141.662030598052,19.38617155716892,7291855,719,0.0034692719054469252,0.00393748720469904
HIGH,4,0.7336758545940543,28.44890553099058,0.9525323819384621,6010.272600834493,32.71199379088098,4321386,719,0.002994794714235751,0.003211393602111769
LOW,8,1.7529790928698714,29.997734114921474,0.9756207801867924,14360.404728789987,13.690979029709164,10325131,719,0.0045353813631678975,0.0056588856743969886
LOW,6,1.2506186706797635,29.929487841185676,0.9743610340298797,10245.068150208623,19.19050191930606,7366204,719,0.00349318664849662,0.004003401946848627
LOW,4,0.7446820467337448,28.56120685741865,0.9521625930642883,6100.435326842838,32.22851968201271,4386213,719,0.0030156710708979517,0.0032644485397412028
M10C-L@18120,8,1.7446501284879172,29.90536943098766,0.975253947089544,14292.173852573018,13.756339800233027,10276073,719,0.006788940472422771,0.0069473230889017185
M10C-L@18120,6,1.2423144938716968,29.779294492803793,0.9737830186089156,10177.04033379694,19.318779679695712,7317292,719,0.005150238108922895,0.004980922949041197
M10C-L@18120,4,0.7371444171592489,28.524421124199666,0.9528679563372456,6038.687065368567,32.5580706321963,4341816,719,0.004552669819243322,0.003954343254195775
VERY_HIGH,8,1.7366062212056677,29.756537940140724,0.973453951395934,14226.27816411683,13.820058748458015,10228694,719,0.004474011265748195,0.005623209874752212
VERY_HIGH,6,1.2344766969640995,29.654472091101805,0.9720140317550786,10112.833101529903,19.441436245027766,7271127,719,0.003372360778385087,0.003999503894674401
VERY_HIGH,4,0.7307190026295202,28.281579265674065,0.9495062702056927,5986.050069541029,32.8443627627516,4303970,719,0.0029655468697683636,0.003223855355040459
