arm,lambda,step,own_epoch,global_epoch,val_distortion,val_psnr_db,val_rate_bpp_proxy,val_total_objective,latent_abs_mean,latent_std,latent_range,bin_width,rate_loc_mean,rate_loc_std,rate_scale_mean,rate_scale_std,rate_grad_norm,sha256,path
CTRL,0.0,604,1,41,0.001300074360319357,29.552433818219654,2.2427623329392397,0.001300074360319357,6.679914951324463,10.110570907592773,116.54625701904297,4.148350715637207,0.0,0.0,1.0,0.0,0.0,16e6569b6e2840b326cd74981fbbd16ebd422272236565b9dff4561b939246b4,outputs\m10d_lambda_refinement\control_lambda0\snapshot_step000604.pt
CTRL,0.0,1812,3,43,0.0013116939895904164,29.483091515230846,2.2132553537207915,0.0013116939895904164,7.434150695800781,11.353425979614258,121.92399597167969,4.1962409019470215,0.0,0.0,1.0,0.0,0.0,ec14aea25b97b02fba646520facb3a4fe3c917a78e638d29da5082e006309087,outputs\m10d_lambda_refinement\control_lambda0\snapshot_step001812.pt
CTRL,0.0,4832,8,48,0.0012914509356796112,29.55145394658468,2.2046285508626915,0.0012914509356796112,8.194515228271484,12.155158996582031,121.81188201904297,4.2003984451293945,0.0,0.0,1.0,0.0,0.0,6efaf38ac45772260c677499a272c4ae195c3dfdf1766fcce2ebf84b79d49563,outputs\m10d_lambda_refinement\control_lambda0\snapshot_step004832.pt
CTRL,0.0,10268,17,57,0.0012383541514457439,29.759961783167828,2.1883094569286667,0.0012383541514457439,7.4132184982299805,11.55676555633545,118.49263000488281,4.239315986633301,0.0,0.0,1.0,0.0,0.0,8d6bf7009268bf83cf8c11d4d4df6ab2e9f43faa8e5a0ed1daaf5df28b6f2db0,outputs\m10d_lambda_refinement\control_lambda0\snapshot_step010268.pt
CTRL,0.0,18120,30,70,0.0011916279148293592,29.929740951721925,2.176864484706557,0.0011916279148293592,7.627022743225098,11.12309741973877,138.3365936279297,4.356063365936279,0.0,0.0,1.0,0.0,0.0,931a2d5b1f85e6faf632ad87f6b58fa5c8ad6356214c73f1840e35cd1abe07a7,outputs\m10d_lambda_refinement\control_lambda0\snapshot_step018120.pt
LOW,0.0006,604,1,41,0.001304075635229069,29.542163435235082,0.7447550698935267,0.0017509286969350315,5.066129207611084,7.645062446594238,92.88365173339844,3.4379496574401855,0.1674865186214447,1.8278485536575317,4.936153411865234,2.926182746887207,4.412598250235292e-06,ed2d0ad980d5cd7d89ea5033477c6ba3f56e4da275593143b77b79785c42641f,outputs\m10d_lambda_refinement\lambda_6.0e-4\snapshot_step000604.pt
LOW,0.0006,1812,3,43,0.0013329357856250626,29.41552522958043,0.7073195885462933,0.0017573275576704688,4.154895782470703,6.311237812042236,78.12242126464844,2.6785454750061035,0.4901691973209381,3.0241360664367676,3.4970996379852295,2.248474359512329,4.963882246927743e-06,b8777bcdc05c81c38f0134d216a77596aae9997cbde0b914886670f2dbd8673d,outputs\m10d_lambda_refinement\lambda_6.0e-4\snapshot_step001812.pt
LOW,0.0006,4832,8,48,0.0013014799890708718,29.527920481670332,0.6743666874357017,0.00170610002901248,3.2023279666900635,4.82424259185791,58.17401885986328,1.807013988494873,0.5204281806945801,2.780648708343506,2.162111759185791,1.6726471185684204,2.9685759697401075e-06,b9f6855b71bec723362594e88374281792373d68cad977062910454f9f41f068,outputs\m10d_lambda_refinement\lambda_6.0e-4\snapshot_step004832.pt
LOW,0.0006,10268,17,57,0.0012443718123137503,29.743624974446124,0.656974253884281,0.0016385563831574407,2.4141628742218018,3.8632125854492188,48.055450439453125,1.2958780527114868,0.4918791949748993,2.4915504455566406,1.4973278045654297,1.4422768354415894,4.9885121609574494e-06,60a24c1cb45a20f8afa41a08cd845208c9f1e27e5d50ef391c920c62794d2155,outputs\m10d_lambda_refinement\lambda_6.0e-4\snapshot_step010268.pt
LOW,0.0006,18120,30,70,0.0012003959809480436,29.888914843639697,0.64178371573069,0.0015854662275839463,2.3055553436279297,3.5004498958587646,56.74704360961914,1.1225261688232422,0.40284159779548645,2.414440393447876,1.318237066268921,1.4390007257461548,3.311493268381133e-06,52dc3954a25729ad3a10170992ea2bedd49728b97c46f9bad24da8fff5233d2c,outputs\m10d_lambda_refinement\lambda_6.0e-4\snapshot_step018120.pt
