model,lambda,seed,bits,aggregate_bpp,mean_psnr,mean_msssim,bytes_per_frame,compression_ratio,total_bytes,total_frames,encode_seconds_per_frame,decode_seconds_per_frame
CTRL_s42,0.0,42,8,1.8443943071431677,29.998339404980232,0.9743798342798946,15109.27816411683,13.01240190725499,10863571,719,0.005326982336853902,0.005547288039965382
CTRL_s42,0.0,42,6,1.3420282822822496,29.850504849981697,0.9722005864177857,10993.895688456189,17.883378701368102,7904611,719,0.0034167268433282993,0.003924717803557581
CTRL_s42,0.0,42,4,0.830993397676895,28.019712670953616,0.9388925809522,6807.497913769123,28.881095887276384,4894591,719,0.0029405261475239234,0.0032865383867265057
CTRL_s43,0.0,43,8,1.8451024507779903,30.052785884024203,0.9742605795614908,15115.079276773296,13.007407794553828,10867742,719,0.004859959525969372,0.006042485116700537
CTRL_s43,0.0,43,6,1.3427607041572496,29.9063985583182,0.9721507676287718,10999.895688456189,17.873624038665177,7908925,719,0.0037605020867515567,0.004521110708490455
CTRL_s43,0.0,43,4,0.8316942408618742,28.043037709009333,0.9386484346900431,6813.239221140473,28.856758675074033,4898719,719,0.0033599728786727215,0.003733874548625548
CURRENT_BEST_s42,0.0006,42,8,1.7533855411704624,30.009950210719843,0.9758093803913769,14363.734353268428,13.687805355106862,10327525,719,0.0048185937400966865,0.005923342976365523
CURRENT_BEST_s42,0.0006,42,6,1.2509023695562413,29.880971330263353,0.9742089575454489,10247.39221140473,19.186149602158018,7367875,719,0.0036694047301755093,0.004315920444111494
CURRENT_BEST_s42,0.0006,42,4,0.7451348444019471,28.558427813321725,0.9523323532271617,6104.144645340751,32.20893530923607,4388880,719,0.003291225590356477,0.0035997308738547817
CURRENT_BEST_s43,0.0006,43,8,1.7535213634931328,29.957337969699058,0.9759585713146459,14364.847009735744,13.68674514018488,10328325,719,0.004697684560250232,0.005860183588199975
CURRENT_BEST_s43,0.0006,43,6,1.2511072914855703,29.847624493573736,0.97443251773943,10249.070931849792,19.183007055695676,7369082,719,0.0036312019469777333,0.004382598469187978
CURRENT_BEST_s43,0.0006,43,4,0.7452635360526774,28.5520850965476,0.9526264314359684,6105.198887343533,32.20337349002355,4389638,719,0.003198926982124011,0.0035664883148513204
LOWER_s42,0.0003,42,8,1.7689804904815716,30.09831878439276,0.9760715635661787,14491.488178025034,13.567136624252115,10419380,719,0.004697498887445731,0.0059204614740344325
LOWER_s42,0.0003,42,6,1.266397659238091,29.986935457699158,0.9745671422491485,10374.329624478441,18.951393209648884,7459143,719,0.003613544645996425,0.004308652018601015
LOWER_s42,0.0003,42,4,0.7593708913747392,28.646593292830552,0.9530470482331489,6220.766342141864,31.605109272165038,4472731,719,0.0031941297634243086,0.0035424340746730764
LOWER_s43,0.0003,43,8,1.7691769235157337,30.121779047895703,0.9760702846776461,14493.09735744089,13.565630254947514,10420537,719,0.00462840556373343,0.005883262307973778
LOWER_s43,0.0003,43,6,1.2665406122327016,30.00787179493274,0.9745801711281417,10375.500695410292,18.94925418750842,7459985,719,0.003674887065187625,0.004321192350738548
LOWER_s43,0.0003,43,4,0.7593309935674548,28.67321642847817,0.9534931898282865,6220.43949930459,31.606769911029545,4472496,719,0.0032175098745325925,0.0035051091790124153
MID_LOW_s42,0.00045,42,8,1.7592046788073714,30.08033846615087,0.9759976412888528,14411.404728789987,13.642528518211122,10361800,719,0.004932313908949774,0.006085032823295443
MID_LOW_s42,0.00045,42,6,1.2566435791355182,29.957625645092367,0.9744234851073158,10294.424200278165,19.098494114385485,7401691,719,0.003634984283860234,0.004350500972018615
MID_LOW_s42,0.00045,42,4,0.7500463493676113,28.596207020511546,0.9525125680778885,6144.379694019472,31.99802254918671,4417809,719,0.003137458553466485,0.003464707093665011
MID_LOW_s43,0.00045,43,8,1.7594629109983484,30.10318334842093,0.9762457520474314,14413.52016689847,13.640526236715045,10363321,719,0.0046765194735936665,0.0058982539635413275
MID_LOW_s43,0.00045,43,6,1.256951046918463,29.99348249156883,0.9747351420439666,10296.94297635605,19.093822355960732,7403502,719,0.0036066897074699725,0.0042802707918904075
MID_LOW_s43,0.00045,43,4,0.7502217299417594,28.61584075004567,0.9527538347476381,6145.816411682893,31.990542318553143,4418842,719,0.0032312723228990286,0.0034883232252615323
UPPER_REFERENCE_s42,0.00075,42,8,1.7486268363178026,30.01105858188677,0.9756900397063296,14324.751043115439,13.72505528425857,10299496,719,0.0048049050070778036,0.00593006063961218
UPPER_REFERENCE_s42,0.00075,42,6,1.2462311003238005,29.884534355662296,0.9741754895788572,10209.125173852573,19.258065373079063,7340361,719,0.00360565785799818,0.0043807577189435
UPPER_REFERENCE_s42,0.00075,42,4,0.7415506630845793,28.57762989845329,0.9523402154860146,6074.7830319888735,32.36461268899523,4367769,719,0.003283768567491079,0.0035737595264767512
UPPER_REFERENCE_s43,0.00075,43,8,1.7491003468902122,29.4578631166291,0.9753231158342746,14328.630041724618,13.72133968338092,10302285,719,0.00478427426885329,0.005853378441834353
UPPER_REFERENCE_s43,0.00075,43,6,1.2466917077755564,29.36662332802721,0.9738646102382675,10212.898470097358,19.250950215127887,7343074,719,0.00368512239257296,0.004389638803162261
UPPER_REFERENCE_s43,0.00075,43,4,0.7416897111874131,28.242372488942365,0.9521320088350723,6075.922114047288,32.35854514090136,4368588,719,0.0032042472885425496,0.003477664811647418
