model,bits,aggregate_bpp,mean_psnr,mean_msssim,bytes_per_frame,total_bytes,total_frames,encode_seconds_per_frame,decode_seconds_per_frame
M7,8,1.9145720034879172,27.581808326307357,0.9511985550835335,15684.173852573018,11276921,719,0.010155651599655487,0.010332944089187676
M7,6,1.4128416270970967,27.514114188882672,0.9492740374115478,11573.998609179416,8321705,719,0.006455033101682727,0.007595551182279203
M7,4,0.9000150762778164,26.52940059338226,0.9184057837732975,7372.923504867872,5301132,719,0.005768536995651598,0.006163615298871779
M8-QAT,8,1.8587495382041028,29.74798092954845,0.9729912719574028,15226.87621696801,10948124,719,0.008929569123587921,0.009985190403204242
M8-QAT,6,1.3565573659162031,29.61339832512825,0.9709653321327189,11112.917941585536,7990188,719,0.006551802364389784,0.007484603059974853
M8-QAT,4,0.8446508415551113,27.85495980094305,0.9375106511593528,6919.379694019472,4975034,719,0.005681754242130445,0.00600398136306067
M9-CTRL,8,1.845483092837274,30.073992786221776,0.9739096379412729,15118.19749652295,10869984,719,0.0069583916549659265,0.007923501112182775
M9-CTRL,6,1.3431206333123262,29.924635556874918,0.9718252618554902,11002.844228094576,7911045,719,0.005072427260187831,0.005705675243394209
M9-CTRL,4,0.8321008589403686,28.072955732385374,0.9387748674159255,6816.570236439499,4901114,719,0.0042503292072287166,0.004431950486617607
M9-L,8,1.7438171980941413,29.872913458748553,0.9752834393682998,14285.350486787205,10271167,719,0.005529379137584121,0.0064024342141547775
M9-L,6,1.2415413252998957,29.801304696498228,0.9740133799498536,10170.706536856746,7312738,719,0.004035520583761322,0.00461447357436236
M9-L,4,0.7365231998109353,28.489385718927927,0.9529183752347763,6033.598052851182,4338157,719,0.0034144642557696245,0.00367806731572751
M9-M,8,1.7391129919484527,29.253530703930597,0.9684282961574815,14246.813630041725,10243459,719,0.005396533101276231,0.006274010153048217
M9-M,6,1.2369223476616829,29.14440908418743,0.9668341925644908,10132.867872044506,7285532,719,0.004120639777310505,0.004535163838568698
M9-M,4,0.7337094706189151,27.78938726921241,0.9437521286567826,6010.547983310153,4321584,719,0.0035141075106230155,0.003676615159908246
M9-H,8,1.7462694701299548,27.345683107124085,0.9411582372284731,14305.43949930459,10285611,719,0.006001258414512,0.006828597357631978
M9-H,6,1.2446519960448539,27.256369801655268,0.9394747934852091,10196.189151599443,7331060,719,0.004574471905727784,0.005005960501010739
M9-H,4,0.7416301191433414,26.24475351527271,0.9163730902200946,6075.433936022253,4368237,719,0.0040256668987097175,0.004101460222274671
